cand_id;cuenca;tipo_cuenca;r_squared;c2c_d;w_mean;w_std;w_min;w_max;widths
hc627_017;hc627;amplia;0.8374841944803398;0.3;0.08811388118811882;0.04479614261887332;0.03;0.15;0.051505,0.034572,0.073540,0.073654,0.130958,0.102981,0.147371,0.150000,0.144501,0.150000,0.150000,0.150000,0.148798,0.142486,0.150000,0.136872,0.142963,0.114192,0.133121,0.101125,0.066693,0.039739,0.033032,0.043649,0.030000,0.030000,0.030000,0.036495,0.040725,0.030000,0.043699,0.035752,0.033425,0.087891,0.098038,0.067914,0.112973,0.125437,0.124485,0.140325,0.140231,0.144620,0.127484,0.140963,0.114050,0.150000,0.142038,0.116745,0.119921,0.115976,0.102252,0.063699,0.055485,0.041798,0.037719,0.053995,0.030000,0.030000,0.032853,0.030000,0.061955,0.030241,0.071519,0.030000,0.073252,0.058939,0.095872,0.081317,0.127243,0.125062,0.147852,0.128927,0.148467,0.115198,0.143143,0.142871,0.134939,0.121419,0.143550,0.114610,0.102027,0.073814,0.121484,0.044891,0.052503,0.038089,0.030000,0.030000,0.030000,0.034929,0.032091,0.040594,0.030000,0.041203,0.032754,0.055859,0.074402,0.111649,0.122799,0.106927,0.128371
hc627_018;hc627;amplia;0.8267757689720517;0.3;0.08830933663366336;0.045992851905502986;0.03;0.15;0.047284,0.035514,0.067351,0.071781,0.132600,0.105591,0.138093,0.150000,0.150000,0.143816,0.150000,0.150000,0.149020,0.150000,0.150000,0.146252,0.150000,0.115235,0.129329,0.105076,0.065053,0.035529,0.032130,0.037709,0.032005,0.030000,0.032470,0.032964,0.030000,0.030000,0.046088,0.031769,0.032230,0.089645,0.093033,0.059905,0.117193,0.131566,0.131245,0.137727,0.139057,0.144057,0.145872,0.142296,0.111829,0.142725,0.138734,0.122791,0.117221,0.112841,0.101560,0.061259,0.063825,0.031935,0.030000,0.057581,0.030000,0.033039,0.030540,0.030000,0.061641,0.030000,0.071145,0.031579,0.070790,0.057887,0.097429,0.080936,0.131783,0.123204,0.148649,0.133123,0.150000,0.123330,0.150000,0.150000,0.125001,0.122984,0.150000,0.113664,0.104190,0.079468,0.117396,0.056210,0.055823,0.030931,0.031229,0.030000,0.030000,0.030000,0.030000,0.030883,0.030000,0.041691,0.047311,0.056015,0.071525,0.121894,0.130858,0.094484,0.123825
hc627_045;hc627;amplia;0.8126375359143461;0.29617;0.08770371287128713;0.04441458601827763;0.029617;0.148085;0.057560,0.032038,0.067624,0.073280,0.127633,0.096931,0.142872,0.139162,0.148085,0.147654,0.148085,0.140122,0.148085,0.148085,0.148085,0.141319,0.145481,0.118115,0.125653,0.114213,0.066920,0.044154,0.039547,0.029617,0.029617,0.029617,0.029617,0.035324,0.030436,0.029617,0.045852,0.036949,0.039201,0.103589,0.094798,0.051912,0.112994,0.125812,0.121993,0.133756,0.137754,0.148085,0.138156,0.142023,0.122180,0.148085,0.140347,0.111394,0.113941,0.116322,0.109482,0.071735,0.064210,0.030528,0.036924,0.058298,0.029617,0.029617,0.038757,0.030328,0.056557,0.032486,0.072464,0.038313,0.073601,0.062542,0.092964,0.087728,0.126095,0.121614,0.148085,0.129160,0.148085,0.118597,0.148085,0.137910,0.129713,0.123041,0.148085,0.108553,0.104649,0.078142,0.108658,0.056041,0.057814,0.036795,0.032096,0.029617,0.033378,0.034234,0.029617,0.029617,0.029617,0.036746,0.034135,0.055906,0.068112,0.105278,0.118243,0.094095,0.122420
hc627_037;hc627;amplia;0.8100804358415095;0.295878;0.0894209108910891;0.045064507950863565;0.029588;0.147939;0.058108,0.047480,0.064545,0.077437,0.132009,0.106707,0.141209,0.147939,0.147939,0.147939,0.147939,0.147939,0.147939,0.147939,0.147939,0.146173,0.147939,0.109833,0.131007,0.113675,0.065961,0.045109,0.029588,0.035517,0.036248,0.030239,0.029588,0.029588,0.034978,0.029588,0.047292,0.041544,0.033380,0.111550,0.098648,0.069801,0.119071,0.124108,0.123765,0.135345,0.140978,0.144040,0.143730,0.137153,0.110046,0.147939,0.141246,0.127102,0.118773,0.114211,0.105868,0.067140,0.049316,0.036871,0.035764,0.064547,0.035160,0.040418,0.029588,0.029588,0.055592,0.036220,0.067251,0.040763,0.066387,0.061267,0.095064,0.084678,0.130787,0.113699,0.145071,0.137228,0.147939,0.122791,0.146957,0.147939,0.146062,0.125609,0.147939,0.121324,0.109462,0.078746,0.116041,0.058652,0.058489,0.032086,0.030108,0.031283,0.029588,0.034314,0.031148,0.034265,0.029588,0.044577,0.030946,0.055366,0.074215,0.109627,0.115187,0.105292,0.131945
hc627_015;hc627;amplia;0.8069207560300667;0.29783;0.08834722772277227;0.04471104788603096;0.029783;0.148915;0.062199,0.030707,0.067297,0.080269,0.131581,0.096877,0.146769,0.141923,0.148915,0.147859,0.148915,0.145817,0.148915,0.135844,0.148915,0.136423,0.138828,0.110153,0.124947,0.103243,0.059113,0.048220,0.034343,0.043011,0.029783,0.032628,0.029783,0.029783,0.032677,0.029783,0.051614,0.046815,0.044820,0.108537,0.086969,0.057723,0.110519,0.129186,0.114996,0.143484,0.136476,0.141406,0.135831,0.138199,0.121127,0.148915,0.147361,0.117480,0.115283,0.107673,0.117234,0.070846,0.057106,0.029783,0.031232,0.064054,0.029783,0.029783,0.033715,0.030441,0.055791,0.032540,0.077212,0.034894,0.063184,0.055297,0.085958,0.082400,0.136280,0.121659,0.142673,0.129409,0.148915,0.128250,0.140388,0.148915,0.132845,0.138136,0.148915,0.122579,0.101149,0.072743,0.113014,0.062042,0.059806,0.030962,0.029783,0.029783,0.033155,0.035349,0.029881,0.031920,0.031186,0.039023,0.043717,0.054517,0.068735,0.109620,0.128001,0.096318,0.132215
hc627_039;hc627;amplia;0.7897783540551435;0.294749;0.08802329702970295;0.045179123082962076;0.029475;0.147375;0.042629,0.030416,0.064529,0.076776,0.127081,0.100522,0.141570,0.147375,0.147375,0.147375,0.147375,0.147375,0.147375,0.147375,0.147375,0.136091,0.147375,0.112481,0.123271,0.104363,0.069793,0.047147,0.032716,0.041320,0.030695,0.033835,0.031351,0.036252,0.029685,0.031709,0.046541,0.036178,0.044906,0.104317,0.095395,0.069365,0.116091,0.136175,0.117926,0.138436,0.143624,0.147375,0.141308,0.133538,0.125354,0.147375,0.146101,0.112598,0.117175,0.107365,0.102737,0.066406,0.051749,0.029675,0.029475,0.062001,0.035301,0.029475,0.034756,0.040459,0.054907,0.029475,0.074920,0.040349,0.065704,0.063422,0.088395,0.074402,0.134943,0.117316,0.144611,0.131736,0.147375,0.121856,0.147375,0.144531,0.143367,0.128540,0.142638,0.122235,0.100571,0.067394,0.116648,0.056883,0.050442,0.034658,0.034671,0.033923,0.029475,0.029475,0.029475,0.035182,0.029475,0.029781,0.039757,0.044129,0.062743,0.113627,0.129499,0.104182,0.120482
hc627_012;hc627;amplia;0.7861160424220603;0.29941;0.0875642475247525;0.04550220797088709;0.029941;0.149705;0.048536,0.030732,0.059641,0.062362,0.117546,0.093816,0.130885,0.146052,0.149705,0.145205,0.148212,0.147679,0.149705,0.149705,0.147320,0.134162,0.141612,0.111590,0.134672,0.108891,0.059822,0.043766,0.029941,0.029941,0.030144,0.029941,0.032483,0.029941,0.043849,0.029941,0.047554,0.031827,0.038389,0.097029,0.097053,0.068875,0.108821,0.127287,0.115230,0.135514,0.145674,0.149705,0.140687,0.134556,0.118907,0.146385,0.149097,0.124002,0.111616,0.114831,0.112661,0.073543,0.048300,0.029941,0.029941,0.052923,0.038376,0.033331,0.038229,0.029941,0.051665,0.029941,0.074786,0.029941,0.082354,0.061939,0.089139,0.076841,0.127128,0.122694,0.144591,0.134554,0.149705,0.119564,0.149705,0.149705,0.142435,0.135654,0.149705,0.111624,0.103375,0.072197,0.114035,0.053790,0.056867,0.031462,0.033075,0.033609,0.029941,0.035144,0.029941,0.029941,0.029941,0.033300,0.038601,0.050664,0.071251,0.106153,0.122643,0.104956,0.121411
hc627_034;hc627;amplia;0.7843043083244698;0.3;0.08844016831683164;0.04570557883708569;0.03;0.15;0.059090,0.036075,0.062362,0.072023,0.126916,0.103495,0.142751,0.150000,0.147201,0.145445,0.150000,0.150000,0.150000,0.147140,0.140074,0.140825,0.146934,0.119400,0.128687,0.105176,0.068430,0.051546,0.030000,0.032504,0.030498,0.030000,0.031314,0.030000,0.032546,0.030000,0.048098,0.039180,0.037364,0.100526,0.090133,0.058149,0.105793,0.130879,0.123275,0.132570,0.139206,0.145832,0.147496,0.132571,0.124783,0.145815,0.143093,0.121227,0.125040,0.105779,0.121412,0.064838,0.055293,0.031765,0.030000,0.060298,0.034747,0.038183,0.034615,0.030968,0.055967,0.032589,0.075628,0.032359,0.063817,0.069246,0.087055,0.087709,0.139520,0.123021,0.146254,0.135404,0.146633,0.109167,0.146954,0.149864,0.142725,0.139480,0.150000,0.117328,0.098247,0.071485,0.120078,0.054898,0.055686,0.030000,0.030000,0.031281,0.040894,0.032247,0.030000,0.034915,0.030000,0.034756,0.031315,0.045841,0.056973,0.106796,0.125948,0.106954,0.124063
hc042_023;hc042;aguja;0.7839548321905832;0.233712;0.10737365346534654;0.004598370904888342;0.097543;0.116856;0.111904,0.102677,0.116244,0.110524,0.100697,0.111869,0.114317,0.103069,0.103512,0.109355,0.110314,0.101027,0.107178,0.111451,0.116856,0.108552,0.112024,0.099423,0.111197,0.114637,0.100742,0.106959,0.110374,0.103686,0.104058,0.107751,0.108434,0.106699,0.106301,0.107655,0.114753,0.104657,0.109413,0.111528,0.111198,0.106284,0.097548,0.110429,0.107188,0.102642,0.106759,0.109206,0.103004,0.110991,0.106984,0.116512,0.109626,0.103593,0.105336,0.107692,0.112744,0.102417,0.106729,0.105984,0.110516,0.103398,0.103833,0.097543,0.107925,0.103405,0.102471,0.106292,0.100237,0.100847,0.110935,0.109713,0.111555,0.106436,0.112127,0.104460,0.102578,0.106930,0.107916,0.111161,0.106088,0.111611,0.107276,0.113430,0.102999,0.107586,0.099262,0.110603,0.104105,0.111872,0.101557,0.107160,0.100909,0.108489,0.106486,0.105848,0.106345,0.116856,0.106506,0.102276,0.101691,0.116337,0.099965,0.116856,0.107858,0.110706,0.111081
hc627_003;hc627;amplia;0.7793771294357952;0.298404;0.08781900000000002;0.04519517996708749;0.02984;0.149202;0.050882,0.034690,0.060709,0.071802,0.134061,0.089444,0.134113,0.149202,0.149202,0.148143,0.149202,0.149202,0.147107,0.140906,0.148854,0.146759,0.146636,0.124145,0.124805,0.107152,0.061970,0.038615,0.029840,0.034029,0.029840,0.033848,0.029840,0.029840,0.038918,0.032734,0.053059,0.039254,0.050138,0.107556,0.090242,0.061200,0.116154,0.125919,0.118777,0.146327,0.139615,0.149202,0.138659,0.127983,0.114726,0.149202,0.139010,0.114590,0.118838,0.108630,0.108681,0.063184,0.057105,0.029840,0.029840,0.059157,0.030219,0.029840,0.029840,0.029840,0.054760,0.030397,0.074780,0.034372,0.076032,0.058454,0.093746,0.076159,0.123299,0.119343,0.147002,0.135823,0.135954,0.113275,0.149202,0.149121,0.135653,0.141091,0.147676,0.114933,0.105236,0.069965,0.119678,0.059517,0.056057,0.030562,0.029840,0.029840,0.029840,0.032639,0.036510,0.035629,0.029840,0.040648,0.042442,0.048595,0.062499,0.105494,0.124684,0.102599,0.123416
